pollster,end_date,approve,disapprove,n,rating,lean
InsiderAdvantage,2025-01-20,56.0,39.0,800,1.0,R
Ipsos,2025-01-21,47.0,41.0,1077,2.3,
SoCal Strategies,2025-01-21,49.0,36.0,742,1.3,
Big Data Poll,2025-01-22,55.5,37.4,2979,1.2,R
AtlasIntel,2025-01-23,50.1,49.7,1882,2.2,
RMG Research,2025-01-23,57.0,39.0,3000,1.3,R
Quantus Insights,2025-01-23,54.0,40.0,1000,1.0,R
Research Co.,2025-01-24,50.0,46.0,1001,1.8,
Echelon Insights,2025-01-24,51.0,43.0,1024,2.0,R
Morning Consult,2025-01-26,52.0,44.0,2303,2.0,
Ipsos,2025-01-26,45.0,46.0,1034,2.3,
Morning Consult,2025-01-27,52.0,38.0,0,2.0,
McLaughlin & Associates,2025-01-27,52.0,43.0,1000,1.0,R
Quinnipiac University,2025-01-27,46.0,43.0,1019,2.7,
Gallup,2025-01-27,47.0,48.0,1001,2.4,
co/efficient,2025-01-28,52.0,47.0,1570,1.0,R
Emerson College,2025-01-28,48.5,41.2,1000,2.5,
YouGov,2025-01-28,49.5,44.5,1577,2.3,
ActiVote,2025-01-31,52.0,45.9,1182,1.2,
RMG Research,2025-01-31,53.0,43.0,4000,1.3,R
TIPP Insights,2025-01-31,46.0,41.0,1478,1.5,
Fabrizio Ward/Impact Research,2025-02-01,48.0,47.0,3000,1.3,
Pew Research Center,2025-02-02,47.0,51.0,5086,2.8,
Navigator Research,2025-02-03,49.0,47.0,1000,1.8,D
Quantus Insights,2025-02-03,52.0,45.0,1000,1.0,R
Morning Consult,2025-02-03,49.0,47.0,0,2.0,
YouGov,2025-02-04,47.0,45.5,1423,2.3,
Civiqs,2025-02-04,45.0,52.0,1113,2.2,D
Marquette University Law School,2025-02-05,48.0,52.0,1063,2.9,
Cygnal Political,2025-02-05,49.8,47.6,1500,1.4,R
RMG Research,2025-02-06,51.0,45.0,3000,1.3,R
Clarity Campaign Labs,2025-02-06,48.0,43.0,1102,1.3,
YouGov,2025-02-07,53.0,47.0,2175,2.3,
J.L. Partners,2025-02-09,46.0,40.0,1017,1.8,
Morning Consult,2025-02-09,49.0,49.0,0,2.0,
Trafalgar Group/InsiderAdvantage,2025-02-09,53.9,45.3,1321,1.2,R
YouGov,2025-02-11,46.5,48.5,1595,2.3,
YouGov,2025-02-11,45.0,41.0,1000,2.3,
Quantus Insights,2025-02-12,53.0,44.0,1000,1.0,R
Echelon Insights,2025-02-13,52.0,46.0,1010,2.0,R
RMG Research,2025-02-14,55.0,43.0,3000,1.3,R
HarrisX,2025-02-15,52.0,43.0,1009,1.5,
SurveyUSA,2025-02-16,51.0,45.0,2000,2.4,
Gallup,2025-02-16,45.0,51.0,1004,2.4,
Morning Consult,2025-02-16,50.0,47.0,0,2.0,
Emerson College,2025-02-17,47.8,42.2,1000,2.5,
Blueprint Polling,2025-02-17,47.0,48.0,1383,1.3,
CNN/SSRS,2025-02-17,46.5,53.0,989,2.6,
co/efficient,2025-02-17,48.0,48.0,2063,1.0,R
Quinnipiac University,2025-02-17,45.0,49.0,1039,2.7,
McLaughlin & Associates,2025-02-18,51.0,46.0,1000,1.0,R
YouGov,2025-02-18,50.0,46.0,1451,2.3,
YouGov,2025-02-18,46.0,46.0,1135,2.3,
Ipsos,2025-02-18,44.0,51.0,4125,2.3,
Ipsos,2025-02-18,46.5,52.0,2601,2.3,
OnMessage Inc.,2025-02-19,50.0,49.0,1000,1.3,R
American Research Group,2025-02-20,43.0,51.0,1100,1.5,
YouGov,2025-02-20,48.0,44.0,1137,2.3,
HarrisX/Harris Poll,2025-02-20,52.0,43.0,2443,1.5,
Echelon Insights,2025-02-20,48.0,49.0,1006,2.0,R
RMG Research,2025-02-21,53.0,44.0,3000,1.3,R
Ipsos,2025-02-23,44.0,50.0,1029,2.3,
Navigator Research,2025-02-24,48.0,49.0,1000,1.8,D
Morning Consult,2025-02-24,50.0,47.0,0,2.0,
GrayHouse,2025-02-24,47.0,50.0,1193,1.3,R
YouGov,2025-02-24,48.0,43.0,1198,2.3,
YouGov,2025-02-25,45.0,46.0,1129,2.3,
YouGov,2025-02-25,48.0,46.0,1444,2.3,
J.L. Partners,2025-02-25,45.0,39.0,1001,1.8,
The Bullfinch Group,2025-02-26,47.5,47.0,1200,1.5,
Marist University,2025-02-26,45.0,50.0,1533,2.7,
Quantus Insights,2025-02-26,51.0,45.2,1000,1.0,R
AtlasIntel,2025-02-27,50.3,49.7,2849,2.2,
TIPP Insights,2025-02-28,46.0,43.0,1434,1.5,
ActiVote,2025-02-28,49.5,48.8,1760,1.2,
CNN/SSRS,2025-02-28,48.0,52.0,1785,2.6,
RMG Research,2025-02-28,53.0,45.0,3000,1.3,R
YouGov,2025-02-28,51.0,49.0,2311,2.3,
John Zogby Strategies,2025-03-01,47.7,47.5,1001,1.2,
Morning Consult,2025-03-02,49.0,48.0,2229,2.0,
Public Opinion Strategies,2025-03-02,51.0,49.0,1000,1.9,R
Justice Research Fund,2025-03-02,47.0,50.0,2049,1.3,
Emerson College,2025-03-03,48.0,43.1,1000,2.5,
Civiqs,2025-03-03,48.0,52.0,1031,2.2,D
Ipsos,2025-03-04,44.0,51.0,1174,2.3,
YouGov,2025-03-04,48.5,47.5,1491,2.3,
Morning Consult,2025-03-05,48.7,44.7,0,2.0,
Trafalgar Group/InsiderAdvantage,2025-03-05,50.0,45.0,800,1.2,R
Cygnal Political,2025-03-05,47.4,50.7,1500,1.4,R
TIPP Insights,2025-03-06,43.0,48.0,1720,1.5,R
RMG Research,2025-03-06,51.0,47.0,2000,1.3,R
McLaughlin & Associates,2025-03-07,50.8,49.2,1655,1.0,R
J.L. Partners,2025-03-07,45.0,46.0,1019,1.8,
Morning Consult,2025-03-09,49.0,49.0,2219,2.0,
Clarity Campaign Labs,2025-03-09,50.0,46.0,1036,1.3,
CNN/SSRS,2025-03-09,45.5,53.5,1206,2.6,
Emerson College,2025-03-10,47.2,45.0,1000,2.5,
Quinnipiac University,2025-03-10,42.0,53.0,1198,2.7,
YouGov,2025-03-11,47.5,48.0,1699,2.3,
Hart Research Associates/Public Opinion Strategies,2025-03-11,47.0,51.0,1000,1.3,
AtlasIntel,2025-03-12,47.3,52.4,2550,2.2,
Quantus Insights,2025-03-12,49.5,47.4,1000,1.0,R
Ipsos,2025-03-12,44.0,52.0,1422,2.3,
RMG Research,2025-03-13,54.0,44.0,3000,1.3,R
Echelon Insights,2025-03-13,49.0,48.0,1007,2.0,R
Blueprint Polling,2025-03-14,45.0,51.0,1400,1.3,
Morning Consult,2025-03-16,48.0,50.0,2210,2.0,
Gallup,2025-03-16,43.0,53.0,1002,2.4,
Beacon Research/Shaw & Company Research,2025-03-17,49.0,51.0,994,2.5,
Navigator Research,2025-03-17,47.0,49.0,1000,1.8,D
North Star Opinion Research,2025-03-17,46.0,51.0,1000,1.5,R
YouGov,2025-03-18,46.0,50.5,1458,2.3,
Remington,2025-03-18,50.0,48.0,800,1.2,R
"Normington, Petts & Associates",2025-03-19,46.0,53.0,800,1.3,
RMG Research,2025-03-19,53.0,45.0,3000,1.3,R
PRRI,2025-03-20,43.0,54.0,5025,2.3,
American Research Group,2025-03-20,45.5,51.0,1100,1.5,
Ipsos,2025-03-23,45.0,51.0,1030,2.3,
GBAO,2025-03-23,48.0,50.0,2000,1.7,D
Morning Consult,2025-03-23,47.0,50.0,2206,2.0,
YouGov,2025-03-24,45.0,50.0,1667,2.3,
Schoen Cooperman Research,2025-03-24,46.0,48.0,1011,1.3,
AP-NORC,2025-03-24,42.0,56.0,1229,2.6,
YouGov,2025-03-25,48.0,48.0,1600,2.3,
Marquette University Law School,2025-03-27,46.5,53.0,1021,2.9,
RMG Research,2025-03-27,52.0,45.0,3000,1.3,R
HarrisX/Harris Poll,2025-03-27,49.0,46.0,2746,1.5,
Quantus Insights,2025-03-27,49.4,46.4,1000,1.0,R
J.L. Partners,2025-03-27,45.0,46.0,1001,1.8,
TIPP Insights,2025-03-28,44.0,45.0,1452,1.5,
YouGov,2025-03-28,50.0,50.0,2600,2.3,
Targoz Market Research,2025-03-28,46.0,51.0,1200,1.3,
Morning Consult,2025-03-30,47.0,49.0,2205,2.0,
ActiVote,2025-03-31,47.6,49.4,799,1.2,
John Zogby Strategies,2025-03-31,48.0,48.0,1000,1.2,
YouGov,2025-04-01,46.0,50.0,1626,2.3,
"Fabrizio, Lee & Associates/Impact Research",2025-04-01,46.0,51.0,1500,1.3,
Ipsos,2025-04-02,43.0,53.0,1486,2.3,
Cygnal Political,2025-04-03,47.0,51.1,1500,1.4,R
J.L. Partners,2025-04-03,47.0,42.0,1019,1.8,
RMG Research,2025-04-03,51.0,47.0,3000,1.3,R
Morning Consult,2025-04-06,46.0,52.0,2207,2.0,
Quinnipiac University,2025-04-07,41.0,53.0,1407,2.7,
Morning Consult,2025-04-07,47.8,46.0,0,2.0,
Navigator Research,2025-04-07,44.0,53.0,1000,1.8,D
HarrisX,2025-04-07,47.0,49.0,1883,1.5,
YouGov,2025-04-08,44.0,51.5,1741,2.3,
TIPP Insights,2025-04-09,43.0,50.0,1570,1.5,R
University of Massachusetts Department of Political Science/YouGov,2025-04-09,44.0,51.0,1000,1.3,
Quantus Insights,2025-04-09,46.8,49.7,1000,1.0,R
RMG Research,2025-04-10,49.0,48.0,3000,1.3,R
The Winston Group,2025-04-10,39.0,54.0,1000,1.5,R
YouGov,2025-04-10,41.0,54.0,1151,2.3,
HarrisX/Harris Poll,2025-04-10,48.0,46.0,2286,1.5,
YouGov,2025-04-11,47.0,53.0,2410,2.3,
RealClear Opinion Research,2025-04-12,44.2,43.5,1000,1.4,R
Morning Consult,2025-04-13,45.0,52.0,2203,2.0,
Pew Research Center,2025-04-13,40.0,59.0,3589,2.8,
GrayHouse,2025-04-13,46.0,52.0,1100,1.3,R
Hart Research Associates/Public Opinion Strategies,2025-04-13,44.0,51.0,1000,1.3,
Clarity Campaign Labs,2025-04-14,46.0,49.0,1008,1.3,
Echelon Insights,2025-04-14,47.0,51.0,1014,2.0,R
J.L. Partners,2025-04-14,48.0,42.0,1002,1.8,
Gallup,2025-04-14,44.0,53.0,1006,2.4,
AtlasIntel,2025-04-14,46.1,52.4,2347,2.2,
Civiqs,2025-04-15,46.0,53.0,1124,2.2,D
YouGov,2025-04-15,43.5,52.5,1329,2.3,
RMG Research,2025-04-16,48.0,51.0,3000,1.3,R
YouGov,2025-04-17,41.0,47.0,1000,2.3,
Noble Predictive Insights,2025-04-18,44.0,53.0,2527,1.8,
McLaughlin & Associates,2025-04-19,48.4,51.6,1638,1.0,R
Morning Consult,2025-04-20,46.0,51.0,2207,2.0,
American Research Group,2025-04-20,43.0,53.0,1100,1.5,
SurveyMonkey,2025-04-20,45.0,55.0,19682,1.5,
Ipsos,2025-04-21,42.0,53.0,4306,2.3,
Beacon Research/Shaw & Company Research,2025-04-21,44.0,55.0,1104,2.5,
AP-NORC,2025-04-21,39.0,59.0,1260,2.6,
YouGov,2025-04-22,41.0,54.0,1625,2.3,
Ipsos,2025-04-22,40.5,55.0,2464,2.3,
John Zogby Strategies,2025-04-23,48.0,50.0,1000,1.2,
Quantus Insights,2025-04-23,47.7,49.8,1000,1.0,R
Marist University,2025-04-23,42.5,53.0,1439,2.7,
YouGov,2025-04-23,43.0,52.5,949,2.3,
CNN/SSRS,2025-04-24,42.0,58.0,1476,2.6,
The Bullfinch Group,2025-04-24,46.0,51.0,1200,1.5,
The New York Times/Siena University,2025-04-24,41.5,53.9,913,3.0,
RMG Research,2025-04-24,49.0,48.0,3000,1.3,R
YouGov,2025-04-25,45.0,55.0,2365,2.3,
Morning Consult,2025-04-27,45.9,54.2,4426,2.0,
Ipsos,2025-04-27,42.0,53.0,1029,2.3,
TrueDot,2025-04-27,43.0,56.0,1448,1.3,
Navigator Research,2025-04-28,44.0,54.0,1000,1.8,D
YouGov,2025-04-28,42.5,53.0,1785,2.3,
J.L. Partners,2025-04-28,41.0,50.0,1006,1.8,
YouGov,2025-04-28,43.5,53.0,1024,2.3,
Emerson College,2025-04-28,44.7,45.3,1000,2.5,
ActiVote,2025-04-30,45.0,51.1,576,1.2,
Lord Ashcroft Polls,2025-04-30,45.5,52.5,8595,1.5,
Wick,2025-04-30,43.0,51.0,1000,1.2,R
Trafalgar Group/InsiderAdvantage,2025-05-01,45.8,43.8,1200,1.2,R
RMG Research,2025-05-01,49.0,48.0,3000,1.3,R
TIPP Insights,2025-05-02,42.0,47.0,1400,1.5,
YouGov,2025-05-02,42.0,52.0,2220,2.3,
High Point University,2025-05-03,41.0,50.0,1000,2.3,
Morning Consult,2025-05-04,46.0,52.0,2263,2.0,
AP-NORC,2025-05-05,41.0,57.0,1175,2.6,
Big Data Poll,2025-05-05,48.0,47.4,3128,1.2,R
YouGov,2025-05-05,43.5,52.0,1850,2.3,
Verasight,2025-05-06,40.0,56.0,1000,1.8,
Quantus Insights,2025-05-07,48.2,48.3,1000,1.0,R
Morning Consult,2025-05-08,46.2,48.0,0,2.0,
RMG Research,2025-05-08,49.0,49.0,3000,1.3,R
YouGov,2025-05-08,41.5,50.0,1142,2.3,
co/efficient,2025-05-09,49.0,51.0,1462,1.0,R
Wick,2025-05-09,47.0,49.0,1000,1.2,R
Morning Consult,2025-05-11,45.0,52.0,2221,2.0,
YouGov,2025-05-12,44.0,52.0,1610,2.3,
Echelon Insights,2025-05-12,46.0,52.0,1000,2.0,R
Ipsos,2025-05-13,44.0,52.0,1163,2.3,
The Bullfinch Group,2025-05-13,45.0,50.5,1000,1.5,
J.L. Partners,2025-05-14,45.0,46.0,1003,1.8,
Marquette University Law School,2025-05-15,46.0,54.0,1004,2.9,
RMG Research,2025-05-15,52.0,48.0,3000,1.3,R
HarrisX/Harris Poll,2025-05-15,47.0,48.0,1903,1.5,
YouGov,2025-05-16,43.7,48.5,1118,2.3,
Gallup,2025-05-18,43.0,53.0,1003,2.4,
Navigator Research,2025-05-18,44.0,54.0,1376,1.8,D
Ipsos,2025-05-18,42.0,52.0,1024,2.3,
YouGov,2025-05-19,44.0,51.5,1710,2.3,
Morning Consult,2025-05-19,48.0,50.0,2208,2.0,
InsiderAdvantage,2025-05-19,54.6,44.4,1000,1.0,R
Fabrizio Ward,2025-05-19,46.0,49.0,800,1.7,R
Civiqs,2025-05-20,47.0,52.0,1018,2.2,D
Quantus Insights,2025-05-20,48.3,47.8,1000,1.0,R
American Research Group,2025-05-20,41.5,55.0,1100,1.5,
RMG Research,2025-05-21,48.0,50.0,3000,1.3,R
Morning Consult,2025-05-25,47.6,50.7,2237,2.0,
YouGov,2025-05-26,45.0,52.0,1486,2.3,
YouGov,2025-05-27,43.0,53.5,1560,2.3,
AtlasIntel,2025-05-27,44.5,54.4,3469,2.2,
Wick,2025-05-28,47.0,48.9,1000,1.2,R
RMG Research,2025-05-29,49.0,50.0,3000,1.3,R
John Zogby Strategies,2025-05-29,48.0,49.0,1000,1.2,
TIPP Insights,2025-05-30,43.0,45.0,1395,1.5,
ActiVote,2025-05-31,46.3,50.2,488,1.2,
Trafalgar Group,2025-06-01,53.7,45.6,1098,1.2,R
Morning Consult,2025-06-02,46.2,50.8,2205,2.0,
YouGov,2025-06-02,45.5,50.0,1436,2.3,
GrayHouse,2025-06-02,48.0,49.0,2000,1.3,R
RMG Research,2025-06-03,51.0,46.0,3000,1.3,R
Quantus Insights,2025-06-04,48.8,48.2,1000,1.0,R
J.L. Partners,2025-06-06,43.0,49.0,1006,1.8,
YouGov,2025-06-06,45.0,55.0,2428,2.3,
Morning Consult,2025-06-08,46.6,51.0,2204,2.0,
Pew Research Center,2025-06-08,41.0,58.0,5044,2.8,
Quinnipiac University,2025-06-09,38.0,54.0,1265,2.7,
Navigator Research,2025-06-09,43.0,55.0,1371,1.8,D
AP-NORC,2025-06-09,39.0,60.0,1158,2.6,
Morning Consult,2025-06-09,49.8,44.1,0,2.0,
YouGov,2025-06-09,44.0,52.5,1533,2.3,
SurveyMonkey,2025-06-10,45.0,55.0,19410,1.5,
PureSpectrum,2025-06-10,37.0,48.0,30967,1.3,
Quantus Insights,2025-06-11,47.5,49.1,1000,1.0,R
TIPP Insights,2025-06-11,43.0,50.0,1584,1.5,R
J.L. Partners,2025-06-11,42.0,46.0,1807,1.8,
HarrisX/Harris Poll,2025-06-12,46.0,50.0,2097,1.5,
RMG Research,2025-06-12,52.0,46.0,3000,1.3,R
Verasight,2025-06-12,42.0,56.0,1500,1.8,
Clarity Campaign Labs,2025-06-14,47.0,50.0,1000,1.3,
The Winston Group,2025-06-14,41.0,52.0,1000,1.5,R
McLaughlin & Associates,2025-06-15,47.4,52.6,1637,1.0,R
GrayHouse,2025-06-15,47.0,52.0,1000,1.3,R
Morning Consult,2025-06-15,46.3,52.2,2207,2.0,
Ipsos,2025-06-16,42.0,54.0,4258,2.3,
InsiderAdvantage,2025-06-16,54.4,44.1,1000,1.0,R
Schoen Cooperman Research,2025-06-16,45.0,50.0,800,1.3,
YouGov,2025-06-16,42.5,53.5,1351,2.3,
Beacon Research/Shaw & Company Research,2025-06-16,46.0,54.0,1003,2.5,
J.L. Partners,2025-06-17,46.0,51.0,1039,1.8,
Echelon Insights,2025-06-17,45.0,53.0,982,2.0,R
Echelon Insights,2025-06-18,48.0,52.0,1002,2.0,R
RMG Research,2025-06-19,53.0,46.0,3000,1.3,R
Gallup,2025-06-19,40.0,57.0,1000,2.4,
The Bullfinch Group,2025-06-20,42.0,54.0,1006,1.5,
Trafalgar Group,2025-06-20,54.4,44.5,1085,1.2,R
American Research Group,2025-06-20,38.0,59.0,1100,1.5,
Morning Consult,2025-06-22,45.0,52.7,2205,2.0,
Ipsos,2025-06-23,41.0,54.0,1144,2.3,
Ipsos,2025-06-23,41.0,57.0,1139,2.3,
YouGov,2025-06-23,41.5,54.0,1455,2.3,
Quinnipiac University,2025-06-24,41.0,54.0,979,2.7,
Emerson College,2025-06-25,44.9,46.3,1000,2.5,
Quantus Insights,2025-06-25,47.0,50.0,1000,1.0,R
Marist University,2025-06-25,43.5,52.5,1381,2.7,
John Zogby Strategies,2025-06-25,45.0,53.0,1006,1.2,
American Pulse Research & Polling,2025-06-25,49.7,48.9,633,1.2,R
The Tyson Group,2025-06-26,45.0,51.0,1027,1.3,
